#Sqrt 1/m	omega
3.1622777	17.090264
2.8867513	15.707963
2.5819889	14.119518
2.0000000	11.010255
1.6439899	9.046471
1.4142136	7.812131



7.0710678	18.162333
4.4721360	11.834767
3.1622777	8.477314
2.8867513	7.751982
2.5819889	6.961978
2.2360680	6.053779



3.1622777	18.980456   0.198
2.8867513	16.597093    0.157
2.5819889	14.567869    0.147
2.0000000	10.538889    0. 84
1.4142136	7.433810    0.034
	
	
	
7.0710678	12.424378
4.4721360	8.084981
3.1622777	5.797315
2.8867513	5.310521
2.5819889	4.768489
	
	
	
4.4721360	17.159960
3.1622777	12.217305
2.8867513	11.177951
2.5819889	9.990931
2.0000000	7.798280

